bureau_score,credit_utilization,debt_to_income,years_employed,credit_history_yrs,num_credit_inquiries_6m,max_dpd,months_delinquent
571,0.3872,0.5801,3.5,7.3,0,0,0
602,0.1416,0.1652,7.2,6.8,2,0,0
632,0.1198,0.1499,0.0,0.0,0,0,0
652,0.2361,1.3982,6.2,3.7,0,0,0
673,0.0887,0.231,12.4,11.1,0,0,0
596,0.1737,0.181,0.0,0.0,2,0,0
680,0.1409,0.2481,17.4,15.6,1,0,0
638,0.0783,0.3047,9.4,8.1,0,0,0
625,0.3064,0.1972,10.7,4.8,0,0,0
667,0.1477,0.3621,3.3,4.0,1,0,0
608,0.1799,0.405,6.2,0.0,0,0,0
566,0.2306,0.7132,6.6,3.9,2,0,0
604,0.5233,1.4537,12.0,10.1,0,0,0
484,0.6694,0.687,2.0,0.0,1,0,0
642,0.1403,0.971,0.0,4.1,1,0,0
583,0.2969,0.4058,4.6,5.2,0,0,0
667,0.2798,0.1325,15.8,9.1,1,0,0
584,0.3708,0.7886,0.4,3.3,2,0,0
547,0.3352,0.4546,9.4,2.8,3,0,0
599,0.3821,0.7314,5.9,2.1,1,0,0
586,0.3632,0.625,7.0,2.1,2,0,0
665,0.1796,0.1801,16.8,7.8,0,0,0
625,0.1093,0.7674,10.8,6.9,2,0,0
524,0.5151,0.798,0.6,0.8,2,0,0
616,0.4272,1.2291,12.4,9.0,2,0,0
635,0.0751,0.1355,6.3,4.7,1,0,0
600,0.1619,1.241,12.4,8.8,3,0,0
578,0.422,0.9068,7.3,2.7,2,0,0
550,0.3159,0.6219,0.5,0.0,3,0,0
583,0.0617,0.1248,5.2,0.0,2,0,0
681,0.2896,0.3003,13.1,11.3,0,0,0
565,0.0355,0.635,19.1,13.6,6,0,0
561,0.2567,1.1712,4.8,3.5,2,0,0
639,0.3078,0.5024,3.5,4.0,1,0,0
675,0.0708,0.5595,11.0,9.4,0,0,0
599,0.3166,0.2913,10.3,6.5,2,0,0
609,0.2426,0.6269,9.5,6.4,0,0,0
603,0.4732,0.355,8.8,9.3,0,0,0
658,0.1744,0.2927,16.6,10.4,1,0,0
660,0.2667,1.1404,11.8,11.4,0,0,0
611,0.3371,0.2212,4.3,2.3,0,0,0
552,0.4167,0.2771,0.0,0.0,0,0,0
617,0.176,0.1748,8.2,5.9,1,0,0
616,0.1713,1.2358,2.8,1.2,1,0,0
569,0.1484,0.195,1.4,0.0,0,0,0
562,0.4087,0.6263,6.0,4.0,1,0,0
578,0.2475,0.1595,3.7,1.6,4,0,0
658,0.0084,1.2171,17.0,15.6,1,0,0
545,0.5396,0.2984,7.0,6.8,2,0,0
563,0.5146,0.5851,4.4,1.2,2,0,0
596,0.1366,0.5036,0.4,0.0,2,0,0
606,0.5105,0.4613,7.6,7.3,1,0,0
640,0.155,1.4487,2.6,4.2,0,0,0
589,0.402,0.5669,10.7,6.8,2,0,0
647,0.1767,0.588,16.4,10.5,0,0,0
582,0.2308,0.7953,10.6,7.2,1,0,0
604,0.1753,0.4638,4.6,3.8,1,0,0
665,0.098,0.3789,16.2,12.8,1,0,0
532,0.2685,0.2189,12.5,10.3,5,0,0
615,0.1123,0.2457,14.3,7.9,2,0,0
632,0.0997,0.3661,14.2,9.2,2,0,0
601,0.3587,0.775,1.7,0.0,1,0,0
520,0.4305,0.2185,5.6,3.9,1,0,0
628,0.1382,0.2282,6.3,1.6,0,0,0
574,0.1354,0.3587,4.2,1.5,4,0,0
682,0.1963,0.3578,12.6,11.0,0,0,0
650,0.3183,0.5889,11.8,9.0,1,0,0
557,0.1801,1.2698,9.7,7.5,4,0,0
582,0.4842,0.7609,13.0,9.1,0,0,0
635,0.354,1.4846,11.3,10.7,0,0,0
612,0.3187,0.3527,14.1,8.6,1,0,0
644,0.1971,0.8257,17.6,12.6,1,0,0
650,0.2663,0.5331,11.1,8.0,1,0,0
576,0.4791,0.3185,6.2,3.6,2,0,0
671,0.1875,0.2321,8.7,10.4,0,0,0
604,0.5313,0.2694,15.5,8.4,1,0,0
544,0.2723,0.2472,2.3,0.0,3,0,0
598,0.3086,0.217,8.9,6.4,1,0,0
635,0.2435,1.0392,16.0,10.0,1,0,0
581,0.1365,0.2411,6.5,0.0,1,0,0
630,0.0405,0.4593,2.2,2.3,3,0,0
614,0.1528,0.8995,0.4,0.8,1,0,0
575,0.4022,1.4849,4.0,5.0,3,0,0
497,0.7967,0.3678,12.9,7.9,1,0,0
575,0.1406,0.3691,1.1,0.0,1,0,0
566,0.4054,0.7185,15.1,8.7,1,0,0
590,0.0339,0.2433,9.8,3.0,0,0,0
621,0.1918,0.3383,1.8,4.3,1,0,0
524,0.3779,0.2529,4.5,5.2,2,0,0
582,0.3623,0.1936,6.1,6.8,2,0,0
656,0.2507,0.1433,6.8,6.1,1,0,0
642,0.2476,0.8086,18.1,9.9,1,0,0
600,0.0998,0.422,3.9,1.9,1,0,0
614,0.1869,1.0346,14.6,11.8,3,0,0
669,0.1547,0.2283,13.7,6.2,0,0,0
568,0.6751,1.1824,10.7,8.4,1,0,0
554,0.3545,0.1905,0.0,1.6,1,0,0
636,0.3094,0.4395,10.1,11.6,1,0,0
655,0.1339,0.4575,12.4,10.6,0,0,0
563,0.3053,0.2987,9.9,7.9,2,0,0
670,0.267,0.5093,17.8,12.5,1,0,0
544,0.3284,0.4373,6.6,5.7,1,0,0
634,0.4217,0.2601,16.6,12.8,0,0,0
611,0.2096,0.887,12.4,4.5,1,0,0
634,0.1879,0.3202,13.9,10.2,0,0,0
598,0.1589,1.511,4.9,0.0,0,0,0
670,0.2503,0.2181,11.6,3.6,1,0,0
560,0.2053,0.5315,4.5,3.2,3,0,0
562,0.2076,0.2947,2.0,2.4,2,0,0
494,0.811,0.7659,5.5,1.2,2,0,0
599,0.3348,1.079,3.0,4.3,0,0,0
612,0.3294,0.1914,15.9,14.2,1,0,0
598,0.2718,0.3935,4.3,4.6,0,0,0
599,0.1148,0.4937,9.3,6.5,2,0,0
656,0.0632,1.5087,15.0,11.1,3,0,0
622,0.3166,0.2883,16.9,12.1,1,0,0
674,0.1542,0.4439,18.3,13.2,3,0,0
633,0.2039,0.2764,6.5,2.5,1,0,0
611,0.4632,0.573,9.4,5.8,1,0,0
542,0.3674,1.0629,0.0,0.1,3,0,0
632,0.3732,0.5497,12.8,9.6,0,0,0
607,0.3564,0.8567,10.6,8.6,2,0,0
584,0.4597,0.7449,15.4,8.8,3,0,0
590,0.1984,1.103,10.0,6.7,1,0,0
614,0.2726,1.1105,3.5,1.9,1,0,0
591,0.2986,0.3775,10.7,11.4,3,0,0
507,0.7215,1.3749,6.6,5.1,2,0,0
651,0.2412,0.6461,16.0,12.5,1,0,0
563,0.1854,0.476,0.0,2.0,1,0,0
692,0.0941,0.6468,17.7,14.1,2,0,0
573,0.3191,0.5154,3.1,0.0,1,0,0
574,0.4037,1.3112,2.3,1.3,0,0,0
671,0.0985,0.3791,11.5,9.4,0,0,0
607,0.2878,0.1836,5.2,3.9,1,0,0
626,0.141,0.1832,16.1,7.9,0,0,0
639,0.2676,0.2572,8.5,3.9,1,0,0
606,0.1878,0.9143,12.7,7.1,1,0,0
608,0.4146,1.4135,19.0,14.0,1,0,0
588,0.2495,0.4937,7.5,5.7,0,0,0
633,0.5086,0.3697,3.0,5.1,1,0,0
611,0.2979,0.4165,13.3,9.3,3,0,0
606,0.1165,0.2312,9.7,7.2,2,0,0
527,0.7452,0.7021,8.0,2.9,1,0,0
617,0.225,0.5176,18.1,12.4,1,0,0
648,0.1252,0.2966,0.6,5.0,1,0,0
557,0.262,0.3046,11.8,8.9,3,0,0
608,0.2214,0.9576,0.0,0.0,1,0,0
526,0.4845,0.3379,0.0,0.8,2,0,0
654,0.3944,0.2704,14.6,12.3,1,0,0
577,0.2235,0.9873,4.9,4.4,2,0,0
618,0.3146,0.5219,4.2,4.6,0,0,0
608,0.4933,0.8279,1.5,3.0,1,0,0
614,0.3156,1.4883,10.8,7.9,2,0,0
616,0.4279,0.8655,12.0,9.1,1,0,0
637,0.1827,0.422,11.1,6.6,0,0,0
602,0.2206,0.4346,14.6,9.0,2,0,0
613,0.3507,0.3358,12.2,8.4,1,0,0
553,0.3583,0.6278,0.0,0.0,2,0,0
624,0.2856,0.2715,8.7,6.8,1,0,0
589,0.4397,0.4566,0.0,0.0,1,0,0
593,0.4436,0.2587,17.7,12.7,2,0,0
621,0.3127,0.6026,9.8,7.9,0,0,0
530,0.3346,0.7018,13.2,6.6,4,0,0
594,0.3111,0.2567,0.7,1.3,1,0,0
628,0.0901,0.554,14.7,6.2,2,0,0
585,0.1379,0.2708,0.0,1.2,2,0,0
637,0.22,1.2854,5.6,5.1,0,0,0
595,0.2822,0.2378,1.7,2.5,0,0,0
615,0.369,0.3454,12.9,9.7,2,0,0
617,0.1719,0.298,10.5,6.3,0,0,0
620,0.206,1.8065,0.0,0.0,0,0,0
542,0.4167,0.6717,13.6,8.3,4,0,0
499,0.3705,1.6719,0.0,2.1,3,0,0
541,0.8282,0.2588,6.0,7.6,0,0,0
599,0.1638,0.4842,1.5,1.2,2,0,0
591,0.1838,0.3305,2.6,0.0,1,0,0
589,0.1225,0.161,8.5,5.4,1,0,0
581,0.4188,0.4039,8.4,7.8,3,0,0
624,0.1333,0.6375,1.5,2.2,0,0,0
619,0.2006,0.3314,2.9,2.1,0,0,0
605,0.1193,0.1573,9.8,6.3,3,0,0
587,0.5755,0.2743,0.9,0.0,0,0,0
589,0.148,0.2683,6.7,4.3,1,0,0
517,0.6996,0.338,10.8,6.8,2,0,0
575,0.4271,0.7161,5.0,2.7,2,0,0
672,0.1781,0.3129,13.0,9.7,1,0,0
662,0.0475,1.1605,0.0,3.5,1,0,0
565,0.4757,1.062,2.2,1.6,1,0,0
541,0.6374,0.3292,6.6,5.8,1,0,0
624,0.2781,0.8875,7.6,5.2,1,0,0
590,0.4506,0.3865,0.1,0.0,1,0,0
611,0.3596,0.7006,12.9,11.3,1,0,0
647,0.2401,0.4365,9.7,7.5,1,0,0
667,0.2022,0.514,15.8,12.6,2,0,0
590,0.3199,0.2172,15.8,13.5,2,0,0
580,0.2084,0.5361,4.8,4.1,1,0,0
618,0.301,0.4615,15.4,11.3,2,0,0
506,0.4342,0.2534,0.0,1.5,2,0,0
603,0.1785,0.1167,5.0,2.2,1,0,0
614,0.3359,0.3842,7.1,3.7,0,0,0
605,0.2351,1.0086,10.0,5.5,1,0,0
540,0.5479,0.4174,9.4,5.6,0,0,0
617,0.553,0.3124,17.8,10.1,0,0,0
610,0.1969,0.4548,7.2,1.7,0,0,0
600,0.1519,0.3367,23.0,14.5,2,0,0
609,0.1297,0.5686,15.5,6.1,3,0,0
581,0.2534,0.7545,7.0,5.5,2,0,0
635,0.2183,0.1828,8.3,6.0,1,0,0
592,0.1275,0.5022,7.6,6.8,4,0,0
542,0.4625,0.4151,2.0,0.0,2,0,0
577,0.5273,0.9449,0.0,1.0,0,0,0
535,0.3833,0.3442,4.2,1.3,3,0,0
603,0.1659,0.2786,0.0,1.5,2,0,0
632,0.1269,0.2997,12.7,5.2,2,0,0
656,0.2784,0.2277,14.6,9.7,1,0,0
690,0.0624,0.2935,4.3,2.2,0,0,0
665,0.2664,0.8207,18.6,14.6,1,0,0
590,0.1448,0.3918,10.1,8.6,2,0,0
642,0.1771,0.3611,2.5,4.2,0,0,0
571,0.1827,0.339,8.8,2.1,3,0,0
667,0.1378,0.3995,3.4,5.4,1,0,0
540,0.4631,0.215,8.1,3.8,2,0,0
556,0.5909,0.6835,10.2,10.6,4,0,0
724,0.0656,0.8138,15.0,14.9,0,0,0
665,0.194,1.0302,9.7,9.2,0,0,0
654,0.188,0.3519,5.3,2.0,1,0,0
594,0.5152,0.8161,4.8,0.9,0,0,0
624,0.2602,1.0911,13.8,8.2,1,0,0
553,0.4729,0.8575,13.9,10.9,2,0,0
557,0.5323,1.4657,16.6,9.5,1,0,0
586,0.2423,1.3567,13.3,5.6,1,0,0
624,0.3471,0.4594,11.5,10.2,2,0,0
551,0.3333,0.4893,8.5,4.7,3,0,0
620,0.2496,0.516,9.2,8.3,1,0,0
637,0.3067,0.2345,10.7,9.0,1,0,0
622,0.35,0.3986,9.9,7.3,1,0,0
627,0.041,0.5895,3.3,4.0,1,0,0
651,0.2748,0.3408,6.6,7.6,0,0,0
677,0.1831,0.3924,4.1,4.4,0,0,0
674,0.1235,0.2473,12.7,10.5,1,0,0
613,0.2756,1.0034,5.3,4.5,0,0,0
689,0.1585,0.1848,19.6,12.9,0,0,0
595,0.2891,0.7393,14.0,10.4,0,0,0
567,0.1745,0.1378,9.8,7.3,4,0,0
592,0.3331,0.3979,2.9,3.0,0,0,0
595,0.5891,0.3966,15.6,11.6,1,0,0
589,0.0627,1.2692,4.7,2.4,1,0,0
547,0.7788,0.1722,8.3,8.1,1,0,0
551,0.1581,0.242,4.3,2.0,2,0,0
617,0.4227,0.2449,0.6,1.2,2,0,0
589,0.1011,0.3139,1.6,2.2,0,0,0
528,0.6611,0.6063,1.0,0.0,1,0,0
672,0.0979,1.5746,4.9,6.6,2,0,0
581,0.6601,0.2043,11.9,8.2,1,0,0
587,0.5138,0.2789,4.1,0.9,2,0,0
556,0.5031,0.6444,5.9,4.1,2,0,0
611,0.2146,0.3711,7.7,3.4,3,0,0
646,0.3363,0.7547,14.5,9.0,0,0,0
652,0.2155,0.2988,13.3,8.1,1,0,0
623,0.1865,1.8322,12.5,8.5,1,0,0
629,0.3391,0.5222,8.0,8.3,0,0,0
639,0.0667,0.3903,11.0,7.9,1,0,0
658,0.0983,1.1377,8.5,6.3,0,0,0
581,0.3564,0.3284,14.8,9.4,0,0,0
684,0.0791,0.1182,8.6,6.6,0,0,0
619,0.2845,0.3844,10.2,7.1,2,0,0
602,0.4812,0.2117,12.7,8.7,1,0,0
617,0.2751,0.3206,10.1,8.5,2,0,0
660,0.1155,1.6041,15.3,8.8,0,0,0
569,0.3729,1.2447,3.3,4.8,2,0,0
598,0.3339,0.2431,1.8,0.0,2,0,0
612,0.2106,0.3412,6.0,4.0,1,0,0
662,0.1489,1.4782,12.9,11.7,2,0,0
608,0.2686,1.5001,10.7,9.9,3,0,0
592,0.6581,1.1237,19.0,13.6,0,0,0
634,0.319,1.7094,11.4,6.4,2,0,0
550,0.2832,0.2447,11.4,7.7,4,0,0
612,0.4099,0.3836,18.1,17.9,1,0,0
586,0.2883,0.4131,1.3,2.3,2,0,0
587,0.2921,1.8611,11.9,4.9,0,0,0
591,0.372,0.1591,14.5,10.3,0,0,0
640,0.2595,0.3384,14.4,8.9,2,0,0
602,0.3816,0.2214,9.2,3.9,2,0,0
603,0.2506,1.5844,13.7,10.6,2,0,0
538,0.3181,0.5087,13.9,7.8,4,0,0
613,0.4112,1.943,15.5,13.9,2,0,0
648,0.2482,0.4393,12.2,11.2,0,0,0
597,0.1171,0.0631,9.7,5.3,1,0,0
676,0.0582,0.236,14.4,8.5,1,0,0
562,0.4644,0.33,8.6,7.4,2,0,0
612,0.4729,0.2842,13.5,11.5,1,0,0
585,0.2969,0.2678,2.8,1.5,0,0,0
571,0.6004,0.2578,7.3,7.1,0,0,0
604,0.2529,0.3865,10.4,10.6,0,0,0
676,0.4371,0.2127,19.9,14.6,1,0,0
569,0.5562,0.639,12.5,6.7,2,0,0
614,0.2261,0.4337,0.0,1.6,0,0,0
568,0.5644,0.4564,12.2,8.8,2,0,0
590,0.1864,0.2277,9.5,6.0,0,0,0
608,0.5235,0.3355,11.6,9.6,0,0,0
595,0.2806,2.0935,10.4,9.7,0,0,0
549,0.6432,0.6834,12.7,9.3,1,0,0
568,0.3725,0.4945,0.0,0.0,1,0,0
660,0.1337,0.4036,8.2,6.0,0,0,0
623,0.0627,0.3831,16.3,11.9,4,0,0
505,0.573,0.1784,0.0,5.2,3,0,0
657,0.2143,0.9075,9.4,6.8,1,0,0
512,0.6394,0.4726,5.1,3.2,1,0,0
614,0.5088,0.4252,13.1,10.5,1,0,0
657,0.0548,0.1326,14.9,9.8,2,0,0
577,0.3102,0.2482,3.4,1.0,1,0,0
676,0.0963,1.286,21.4,11.8,0,0,0
659,0.1488,1.1004,16.1,10.1,1,0,0
602,0.369,0.9424,14.4,6.3,0,0,0
659,0.2467,0.0957,14.6,10.8,1,0,0
638,0.0837,0.3497,8.1,6.1,1,0,0
666,0.3445,0.2616,19.2,14.8,0,0,0
576,0.3964,0.542,8.1,3.6,2,0,0
593,0.4648,0.6382,6.8,1.9,0,0,0
579,0.17,0.3282,1.9,5.4,1,0,0
586,0.4995,0.4323,7.2,4.9,0,0,0
591,0.334,1.031,13.3,10.7,1,0,0
627,0.1761,0.5732,8.6,6.3,1,0,0
614,0.1425,0.1881,0.4,1.8,2,0,0
565,0.2813,1.3871,1.0,1.2,2,0,0
525,0.3262,0.5025,5.3,2.1,3,0,0
629,0.2744,0.4812,7.3,6.2,1,0,0
603,0.2364,0.208,1.3,1.5,0,0,0
574,0.4052,0.7075,10.5,4.0,4,0,0
540,0.5142,0.4489,9.2,7.0,1,0,0
627,0.1755,0.311,11.5,7.3,2,0,0
657,0.0304,0.569,16.5,10.2,1,0,0
583,0.2131,0.4493,0.0,2.0,2,0,0
626,0.1901,0.4144,7.8,5.3,2,0,0
633,0.1598,0.6392,9.4,6.5,1,0,0
558,0.3843,0.6442,6.9,5.0,3,0,0
643,0.0622,0.8812,11.8,8.2,0,0,0
609,0.3115,1.0294,7.6,5.1,0,0,0
573,0.3598,0.372,8.8,9.1,1,0,0
573,0.3683,0.7508,16.6,10.3,2,0,0
570,0.15,0.5077,2.3,0.0,2,0,0
595,0.2466,0.2122,4.2,3.0,2,0,0
573,0.5216,1.1595,13.4,7.5,2,0,0
597,0.5424,0.8979,13.9,7.5,0,0,0
639,0.1771,1.1813,16.4,11.4,2,0,0
616,0.1705,0.3499,1.3,1.5,0,0,0
535,0.4283,0.7426,15.7,10.6,2,0,0
572,0.1101,0.2613,17.6,11.4,3,0,0
598,0.1351,1.0416,0.0,0.0,1,0,0
608,0.1482,0.1449,17.7,12.3,1,0,0
641,0.2531,0.077,0.0,0.0,2,0,0
553,0.4834,0.8655,1.3,0.0,1,0,0
649,0.4689,1.4946,18.7,14.8,2,0,0
518,0.5932,0.3181,8.7,3.2,1,0,0
677,0.106,0.4436,17.3,10.8,1,0,0
640,0.2008,1.0285,15.9,8.0,0,0,0
559,0.3747,0.4642,6.7,5.0,0,0,0
528,0.6233,0.655,2.8,0.5,1,0,0
594,0.3545,0.4315,18.4,12.5,2,0,0
636,0.2443,0.6356,10.7,6.0,1,0,0
603,0.1508,0.2459,4.3,0.9,1,0,0
577,0.3559,0.8845,10.0,2.0,0,0,0
658,0.0739,0.6631,6.2,3.2,1,0,0
677,0.0732,0.5592,6.2,1.9,1,0,0
589,0.2772,1.2549,9.3,7.5,2,0,0
624,0.4527,0.798,16.4,15.6,1,0,0
603,0.4277,0.5082,11.6,11.8,1,0,0
612,0.0843,1.3667,7.2,4.9,1,0,0
562,0.182,0.5552,0.8,0.0,3,0,0
607,0.2519,0.0573,1.0,0.0,0,0,0
517,0.2144,0.6882,0.0,0.0,3,0,0
499,0.6384,0.317,0.4,0.0,1,0,0
504,0.5722,0.2636,15.0,9.0,4,0,0
574,0.3673,0.6839,12.0,5.1,1,0,0
629,0.1879,0.5971,9.2,7.8,0,0,0
666,0.4476,0.7228,14.9,11.4,0,0,0
594,0.2709,0.7404,0.4,0.0,1,0,0
595,0.2805,1.2048,5.7,5.7,1,0,0
656,0.103,0.3923,17.5,12.4,2,0,0
534,0.5666,1.5107,2.4,2.7,2,0,0
621,0.0708,0.4062,8.7,7.6,2,0,0
611,0.4018,1.2167,11.1,8.5,0,0,0
603,0.2015,0.2408,0.0,0.0,0,0,0
607,0.2083,0.2416,4.4,5.2,1,0,0
607,0.2849,1.2643,8.4,7.4,1,0,0
600,0.2836,0.1989,6.9,6.4,1,0,0
615,0.2956,0.066,13.9,7.1,1,0,0
618,0.0723,0.7668,12.6,5.9,1,0,0
555,0.66,0.3925,8.0,8.6,3,0,0
594,0.3117,0.3772,0.0,0.0,0,0,0
589,0.1491,0.1894,11.5,8.6,2,0,0
693,0.2,0.6774,0.0,2.4,0,0,0
594,0.0533,0.8067,12.0,11.7,2,0,0
625,0.105,0.4007,0.0,1.1,1,0,0
572,0.3065,1.3713,9.2,5.4,3,0,0
618,0.3585,1.7735,5.0,2.9,1,0,0
609,0.261,0.3911,8.2,6.5,3,0,0
622,0.4758,0.3713,14.7,10.6,0,0,0
611,0.0937,0.431,10.1,5.6,3,0,0
616,0.1938,0.1796,18.7,7.8,0,0,0
647,0.0929,0.6278,13.6,8.0,3,0,0
607,0.4674,0.9625,12.9,8.6,0,0,0
673,0.1508,0.3979,10.1,7.1,1,0,0
626,0.4148,0.3136,12.6,12.2,1,0,0
640,0.0841,0.6584,9.8,9.0,1,0,0
607,0.2177,0.3362,2.7,1.0,2,0,0
595,0.4584,0.5008,7.2,6.0,0,0,0
609,0.1021,0.3503,16.1,5.9,2,0,0
568,0.6566,1.1281,17.9,15.0,2,0,0
634,0.3054,1.4918,6.4,3.5,0,0,0
584,0.4416,0.4252,8.3,6.2,2,0,0
582,0.0787,0.3115,1.2,0.9,2,0,0
590,0.4048,0.3078,9.2,8.5,3,0,0
552,0.0645,0.6892,0.0,0.0,3,0,0
591,0.2983,0.3078,2.2,3.2,1,0,0
572,0.1387,0.3714,1.2,1.6,3,0,0
628,0.3406,0.4459,8.0,5.8,0,0,0
558,0.5224,0.2052,9.0,6.1,1,0,0
668,0.0751,0.37,9.1,5.4,1,0,0
602,0.4719,1.9918,0.0,0.0,0,0,0
642,0.1132,0.6564,13.9,9.0,0,0,0
659,0.3114,0.3586,12.3,9.4,0,0,0
656,0.2373,0.3687,16.3,9.1,2,0,0
632,0.1676,0.8149,9.8,7.0,2,0,0
662,0.108,0.5287,8.4,8.9,0,0,0
613,0.2929,0.6013,4.3,2.1,0,0,0
634,0.1866,0.2341,11.1,8.6,2,0,0
628,0.2,0.6994,13.7,4.9,0,0,0
581,0.414,0.8363,12.0,5.2,0,0,0
639,0.4521,0.9279,18.6,12.8,1,0,0
637,0.0401,0.7144,11.1,7.6,3,0,0
592,0.2541,0.2478,3.6,2.6,0,0,0
562,0.4321,0.575,0.0,4.4,2,0,0
600,0.2233,0.3657,0.0,0.0,0,0,0
708,0.0715,0.2778,14.3,10.2,0,0,0
520,0.6097,0.2507,18.4,11.4,3,0,0
588,0.2339,0.7942,0.0,1.5,2,0,0
673,0.1544,0.3337,21.5,12.7,0,0,0
642,0.2535,0.4788,20.7,13.1,2,0,0
622,0.0824,0.2289,7.8,3.7,1,0,0
542,0.4471,0.7936,6.9,6.5,3,0,0
614,0.1525,0.2015,3.2,2.5,3,0,0
596,0.3273,0.539,11.8,8.8,1,0,0
589,0.4561,0.4883,1.9,0.9,1,0,0
640,0.271,0.6939,14.8,12.8,0,0,0
596,0.1839,0.3156,7.4,4.9,2,0,0
654,0.1959,0.9674,5.0,7.4,0,0,0
633,0.3126,0.5248,8.7,8.6,0,0,0
604,0.3387,1.9553,5.7,1.0,0,0,0
636,0.2282,0.9479,6.5,5.8,1,0,0
623,0.3593,0.5419,9.6,9.3,2,0,0
551,0.5938,0.5906,7.5,4.4,0,0,0
644,0.0683,0.8489,11.8,9.1,2,0,0
591,0.1522,0.4178,15.8,8.1,4,0,0
625,0.1279,1.0581,15.6,8.9,3,0,0
529,0.4296,0.6176,0.0,0.0,3,0,0
581,0.1237,0.6467,1.3,0.0,1,0,0
571,0.2928,0.556,2.3,1.7,1,0,0
602,0.3298,0.5108,16.8,13.1,2,0,0
612,0.162,0.5343,13.6,7.7,2,0,0
515,0.6735,0.3065,11.2,5.2,2,0,0
620,0.0439,0.3366,12.3,5.5,2,0,0
608,0.3298,0.1175,11.3,10.3,3,0,0
580,0.1513,0.3052,0.0,0.0,1,0,0
688,0.1555,0.3593,15.6,11.5,0,0,0
661,0.0209,0.5111,4.9,6.0,2,0,0
589,0.1809,0.5269,8.2,3.8,4,0,0
630,0.0798,0.6941,10.7,5.8,1,0,0
650,0.2316,0.5633,14.4,10.4,1,0,0
485,0.5706,1.6524,13.9,10.2,5,0,0
607,0.1869,0.6378,7.6,4.3,1,0,0
550,0.2705,1.0583,12.4,8.1,3,0,0
592,0.4623,1.5002,13.2,9.4,1,0,0
651,0.1035,0.7187,11.2,7.0,0,0,0
590,0.2977,0.8186,5.0,2.8,0,0,0
619,0.2548,0.3937,16.1,15.2,1,0,0
576,0.3485,0.4394,15.0,12.5,3,0,0
530,0.4145,0.5099,6.5,6.7,3,0,0
591,0.2772,0.1478,1.6,0.4,1,0,0
631,0.0251,0.1756,10.5,3.9,2,0,0
684,0.0632,0.8534,5.5,8.8,0,0,0
587,0.4062,0.6179,11.2,6.6,0,0,0
617,0.1774,0.2494,16.7,12.3,2,0,0
597,0.1987,0.2172,10.9,9.2,1,0,0
571,0.3025,1.4411,6.5,3.4,0,0,0
605,0.0781,0.4049,12.4,10.5,1,0,0
496,0.5937,0.3789,9.6,6.7,3,0,0
592,0.5028,0.1201,10.2,6.6,1,0,0
561,0.3674,1.1888,4.6,2.1,2,0,0
644,0.1395,0.3102,7.0,2.9,0,0,0
510,0.463,0.4892,11.6,4.4,5,0,0
666,0.1777,0.1352,5.3,9.3,3,0,0
